City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Itarema,BR,76.33,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
199,Sioux Lookout,CA,72.34,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
200,Igrim,RU,72.32,broken clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
201,Tutoia,BR,76.06,few clouds,-2.7619,-42.2744,Pousada Guará's
202,Batavia,US,72.9,clear sky,41.85,-88.3126,Comfort Inn & Suites Geneva- West Chicago
203,Innisfail,AU,71.28,overcast clouds,-17.5333,146.0333,Moondarra Motel
204,Andijon,UZ,83.48,overcast clouds,40.7821,72.3442,"Hotel ""Bog'ishamol"""
205,Zharkent,KZ,84.33,clear sky,44.1628,80.0,гостиница Satti
206,Sarti,GR,73.69,clear sky,40.1,23.9833,Vamvini Hotel
207,Saint-Joseph,RE,69.1,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
208,Mazagao,BR,75.25,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
209,Oliveira Dos Brejinhos,BR,65.08,broken clouds,-12.3169,-42.8961,Hotel Paraiso
210,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
211,Aguia Branca,BR,68.07,overcast clouds,-18.9831,-40.7403,Hotel Universal
212,Superior,US,76.48,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
213,Moindou,NC,70.43,clear sky,-21.6924,165.677,Equi-lodge de Moindou
214,Yantai,CN,84.7,clear sky,37.5333,121.4,Yantai Seaside International Youth Hostel
