City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,52,20,13.42,few clouds
301,Bonavista,CA,48.6499,-53.1147,49.66,96,71,15.61,broken clouds
302,Port Hedland,AU,-20.3167,118.5667,84.25,32,0,14.97,clear sky
303,Zalari,RU,53.5584,102.5065,74.44,50,69,3.24,broken clouds
304,Zeya,RU,53.75,127.2667,71.83,47,100,5.39,overcast clouds
305,Tura,IN,25.5198,90.2201,80.53,81,100,6.49,overcast clouds
306,Goderich,CA,43.7501,-81.7165,59.32,51,100,4.61,overcast clouds
307,Liaoyang,CN,41.2719,123.1731,88.12,46,2,11.14,clear sky
308,Totness,SR,5.8833,-56.3167,75.42,93,100,6.49,overcast clouds
309,Faanui,PF,-16.4833,-151.75,80.1,76,21,22.01,few clouds
310,Bridlington,GB,54.0831,-0.1919,53.29,73,50,15.97,scattered clouds
311,Burnie,AU,-41.0667,145.9167,55.94,81,82,16.37,broken clouds
312,Frontera,MX,26.9333,-101.45,86.32,43,12,1.99,few clouds
313,Severo-Kurilsk,RU,50.6789,156.125,48.88,93,98,2.01,overcast clouds
314,Sabha,LY,27.0377,14.4283,81.39,19,0,9.95,clear sky
315,Leshukonskoye,RU,64.8989,45.7622,59.32,47,100,4.21,overcast clouds
316,Jinji,CN,23.2281,110.8261,85.35,77,100,4.36,light rain
317,Romitan,UZ,39.9343,64.3814,83.07,24,98,16.08,overcast clouds
318,Bandarbeyla,SO,9.4942,50.8122,83.14,53,72,30.98,broken clouds
319,Bud,US,39.447,-86.1758,64.42,74,6,5.88,clear sky
320,Bosaso,SO,11.2842,49.1816,98.58,28,86,12.66,overcast clouds
321,Arraial Do Cabo,BR,-22.9661,-42.0278,68.47,75,23,11.72,few clouds
322,Khor,RU,47.8861,134.9464,64.11,78,94,7.54,overcast clouds
323,Makakilo City,US,21.3469,-158.0858,80.92,59,0,16.11,clear sky
324,Amparafaravola,MG,-17.5833,48.2167,62.31,88,80,8.48,broken clouds
325,Fukue,JP,32.6881,128.8419,75.56,100,75,9.22,moderate rain
326,Beringovskiy,RU,63.05,179.3167,45.32,90,100,12.95,overcast clouds
327,Leningradskiy,RU,69.3833,178.4167,55.51,55,81,10.67,broken clouds
